,Brand_Name,Model_Name,Phone_Colour,Rom,Rating,Rating_Count,Reviews_Count,Price,Pre_price,Battery_Capacity,Display_Size,Processor,Primary_Camera,Rating_Group,Price_Group,Display_Group
366,SAMSUNG,SAMSUNG Galaxy M04 ,Dark Blue,128,4.1,4902,295,9743,13499,5000.0,6.5,MediaTekHelioP35,13.0,Good,0-20k,Large
367,SAMSUNG,SAMSUNG Galaxy M04 ,Dark Blue,64,4.1,4902,295,8146,11999,5000.0,6.5,MediaTekHelioP35,13.0,Good,0-20k,Large
368,OnePlus,OnePlus 11R 5G ,Sonic Black,256,4.5,5358,419,43853,44999,5000.0,6.7,,50.0,Excellent,40k-60k,Very Large
369,POCO,POCO M4 5G ,Cool Blue,64,4.2,91755,6341,11999,15999,3600.0,6.58,MediatekDimensity700,50.0,Good,0-20k,Large
370,SAREGAMA,SAREGAMA Carvaan Mobile Hindi Don M12 with 1000 Pre-Loaded Songs,Mystic Green,128,3.9,72,9,1750,14999,800.0,1.8,,50.0,Fair,0-20k,Small
371,POCO,POCO M4 5G ,Cool Blue,128,4.2,46648,3318,13999,18999,3600.0,6.58,MediatekDimensity700,50.0,Good,0-20k,Large
372,IQOO,IQOO Z7S 5G ,Pacific Night,128,4.3,621,33,20325,24999,4500.0,6.4,,64.0,Good,20k-40k,Large
373,itel,itel iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32GB,Mystic Green,128,3.9,98,4,1561,1899,2500.0,2.4,,0.3,Fair,0-20k,Small
374,Infinix,Infinix Hot 12 ,7° Purple,64,4.2,29548,1988,8999,12999,3600.0,6.82,MeditekHelioG37,50.0,Good,0-20k,Very Large
375,Tecno,Tecno Camon 20 ,Predawn Black,256,4.3,215,23,15998,17999,5000.0,6.67,MediatekMT6769ZHelioG85,64.0,Good,0-20k,Very Large
376,POCO,POCO M4 5G ,Power Black,128,4.2,46648,3318,13999,18999,3600.0,6.58,MediatekDimensity700,50.0,Good,0-20k,Large
377,Kechaoda,Kechaoda K112,Mystic Green,128,4.0,23154,2338,1480,1899,3600.0,2.4,,0.3,Good,0-20k,Small
378,LAVA,LAVA A5,Mystic Green,128,4.1,13295,1230,1549,14999,3600.0,2.4,,0.3,Good,0-20k,Small
379,LAVA,LAVA A5,Mystic Green,128,4.1,13295,1230,1549,14999,3600.0,2.4,,0.3,Good,0-20k,Small
380,LAVA,LAVA A5,Mystic Green,128,4.1,13295,1230,1410,1590,3600.0,2.4,,0.3,Good,0-20k,Small
381,I,I Kall S1 Pro ,Jordy Blue,128,3.7,127,4,9999,11999,6000.0,6.8,OctaCore,13.0,Fair,0-20k,Very Large
382,realme,realme 11 Pro+ 5G ,Astral Black,256,4.3,5709,634,29999,32999,3600.0,6.7,Dimensity7050,200.0,Good,20k-40k,Very Large
383,realme,realme 11 Pro+ 5G ,Sunrise Beige,256,4.3,5709,634,29999,32999,3600.0,6.7,Dimensity7050,200.0,Good,20k-40k,Very Large
384,SAMSUNG,SAMSUNG Guru Music 2,Mystic Green,128,4.3,208730,19031,2890,2899,800.0,6.5,,50.0,Good,0-20k,Large
385,REDMI,REDMI Note 12 5G ,Frosted Green,256,4.1,1264,96,20999,23999,5000.0,6.67,QualcommSnapdragon4Gen1,48.0,Good,20k-40k,Very Large
386,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
